***********************./en_de_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4919 = 15000
ents: 15000 + 4462 = 15000
all ents: 25500
all rels: 222 120 342
all triples: 38363 + 37377 = 75740
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
316/1000, rel loss = 26126.707, time = 0.866 s
317/1000, sim loss = 546.709, time = 0.273 s
318/1000, rel loss = 25920.433, time = 0.870 s
319/1000, sim loss = 546.222, time = 0.256 s
320/1000, rel loss = 25814.059, time = 0.868 s
321/1000, sim loss = 545.737, time = 0.270 s
322/1000, rel loss = 25692.123, time = 0.872 s
323/1000, sim loss = 545.246, time = 0.259 s
324/1000, rel loss = 25562.747, time = 0.877 s
325/1000, sim loss = 544.756, time = 0.267 s
326/1000, rel loss = 25452.038, time = 0.868 s
327/1000, sim loss = 544.291, time = 0.260 s
328/1000, rel loss = 25284.039, time = 0.874 s
329/1000, sim loss = 543.834, time = 0.260 s
330/1000, rel loss = 25184.390, time = 0.873 s
331/1000, sim loss = 543.366, time = 0.262 s
332/1000, rel loss = 25027.604, time = 0.869 s
333/1000, sim loss = 542.919, time = 0.273 s
334/1000, rel loss = 24960.798, time = 0.874 s
335/1000, sim loss = 542.477, time = 0.267 s
336/1000, rel loss = 24812.459, time = 0.870 s
337/1000, sim loss = 542.036, time = 0.286 s
338/1000, rel loss = 24694.458, time = 0.871 s
339/1000, sim loss = 541.598, time = 0.262 s
340/1000, rel loss = 24551.295, time = 0.870 s
341/1000, sim loss = 541.158, time = 0.277 s
342/1000, rel loss = 24423.074, time = 0.874 s
343/1000, sim loss = 540.721, time = 0.261 s
344/1000, rel loss = 24304.078, time = 0.867 s
345/1000, sim loss = 540.294, time = 0.271 s
346/1000, rel loss = 24190.016, time = 0.865 s
347/1000, sim loss = 539.871, time = 0.283 s
348/1000, rel loss = 24053.828, time = 0.869 s
349/1000, sim loss = 539.443, time = 0.277 s
350/1000, rel loss = 23959.677, time = 0.868 s
351/1000, sim loss = 539.032, time = 0.265 s
352/1000, rel loss = 23841.338, time = 0.865 s
353/1000, sim loss = 538.611, time = 0.260 s
354/1000, rel loss = 23714.520, time = 0.867 s
355/1000, sim loss = 538.195, time = 0.269 s
356/1000, rel loss = 23602.253, time = 0.867 s
357/1000, sim loss = 537.790, time = 0.279 s
358/1000, rel loss = 23507.583, time = 0.869 s
359/1000, sim loss = 537.380, time = 0.277 s
360/1000, rel loss = 23365.516, time = 0.873 s
361/1000, sim loss = 536.990, time = 0.275 s
362/1000, rel loss = 23297.881, time = 0.870 s
363/1000, sim loss = 536.607, time = 0.260 s
364/1000, rel loss = 23145.750, time = 0.870 s
365/1000, sim loss = 536.208, time = 0.285 s
366/1000, rel loss = 23067.849, time = 0.867 s
367/1000, sim loss = 535.813, time = 0.259 s
368/1000, rel loss = 22989.848, time = 0.873 s
369/1000, sim loss = 535.426, time = 0.257 s
370/1000, rel loss = 22808.638, time = 0.868 s
371/1000, sim loss = 535.045, time = 0.262 s
372/1000, rel loss = 22700.412, time = 0.871 s
373/1000, sim loss = 534.655, time = 0.274 s
374/1000, rel loss = 22654.628, time = 0.866 s
375/1000, sim loss = 534.283, time = 0.260 s
376/1000, rel loss = 22501.563, time = 0.867 s
377/1000, sim loss = 533.906, time = 0.287 s
378/1000, rel loss = 22424.943, time = 0.869 s
379/1000, sim loss = 533.533, time = 0.290 s
380/1000, rel loss = 22321.215, time = 0.872 s
381/1000, sim loss = 533.163, time = 0.259 s
382/1000, rel loss = 22211.538, time = 0.870 s
383/1000, sim loss = 532.799, time = 0.269 s
384/1000, rel loss = 22155.877, time = 0.874 s
385/1000, sim loss = 532.447, time = 0.269 s
386/1000, rel loss = 21978.349, time = 0.870 s
387/1000, sim loss = 532.087, time = 0.260 s
388/1000, rel loss = 21919.489, time = 0.868 s
389/1000, sim loss = 531.724, time = 0.261 s
390/1000, rel loss = 21813.189, time = 0.868 s
391/1000, sim loss = 531.366, time = 0.280 s
392/1000, rel loss = 21708.657, time = 0.872 s
393/1000, sim loss = 531.029, time = 0.259 s
394/1000, rel loss = 21636.228, time = 0.866 s
395/1000, sim loss = 530.678, time = 0.275 s
396/1000, rel loss = 21560.176, time = 0.871 s
397/1000, sim loss = 530.323, time = 0.268 s
398/1000, rel loss = 21435.620, time = 0.866 s
399/1000, sim loss = 529.973, time = 0.265 s
400/1000, rel loss = 21357.243, time = 0.871 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.2255  0.4968  0.7254  0.8121], mean = 176.824, mrr = 0.318, time = 5.656 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2537  0.5251  0.7439  0.8241], mean = 193.618, mrr = 0.346, time = 5.655 s 
401/1000, sim loss = 529.634, time = 0.262 s
402/1000, rel loss = 21239.805, time = 0.867 s
403/1000, sim loss = 529.286, time = 0.273 s
404/1000, rel loss = 21144.802, time = 0.875 s
405/1000, sim loss = 528.942, time = 0.270 s
406/1000, rel loss = 21116.132, time = 0.871 s
407/1000, sim loss = 528.599, time = 0.286 s
408/1000, rel loss = 20985.045, time = 0.870 s
409/1000, sim loss = 528.268, time = 0.259 s
410/1000, rel loss = 20894.285, time = 0.866 s
411/1000, sim loss = 527.940, time = 0.264 s
412/1000, rel loss = 20831.885, time = 0.865 s
413/1000, sim loss = 527.620, time = 0.268 s
414/1000, rel loss = 20715.251, time = 0.870 s
415/1000, sim loss = 527.296, time = 0.271 s
416/1000, rel loss = 20606.577, time = 0.871 s
417/1000, sim loss = 526.981, time = 0.261 s
418/1000, rel loss = 20508.012, time = 0.868 s
419/1000, sim loss = 526.673, time = 0.271 s
420/1000, rel loss = 20501.760, time = 0.868 s
421/1000, sim loss = 526.366, time = 0.270 s
422/1000, rel loss = 20346.414, time = 0.865 s
423/1000, sim loss = 526.046, time = 0.282 s
424/1000, rel loss = 20297.558, time = 0.866 s
425/1000, sim loss = 525.738, time = 0.273 s
426/1000, rel loss = 20200.760, time = 0.871 s
427/1000, sim loss = 525.429, time = 0.280 s
428/1000, rel loss = 20104.902, time = 0.866 s
429/1000, sim loss = 525.117, time = 0.264 s
430/1000, rel loss = 20032.146, time = 0.866 s
431/1000, sim loss = 524.814, time = 0.279 s
432/1000, rel loss = 19987.993, time = 0.869 s
433/1000, sim loss = 524.518, time = 0.256 s
434/1000, rel loss = 19906.379, time = 0.865 s
435/1000, sim loss = 524.225, time = 0.273 s
436/1000, rel loss = 19855.311, time = 0.866 s
437/1000, sim loss = 523.930, time = 0.274 s
438/1000, rel loss = 19735.584, time = 0.873 s
439/1000, sim loss = 523.636, time = 0.260 s
440/1000, rel loss = 19689.189, time = 0.872 s
441/1000, sim loss = 523.342, time = 0.262 s
442/1000, rel loss = 19600.267, time = 0.867 s
443/1000, sim loss = 523.057, time = 0.262 s
444/1000, rel loss = 19470.416, time = 0.867 s
445/1000, sim loss = 522.773, time = 0.270 s
446/1000, rel loss = 19423.310, time = 0.874 s
447/1000, sim loss = 522.493, time = 0.271 s
448/1000, rel loss = 19358.330, time = 0.867 s
449/1000, sim loss = 522.209, time = 0.268 s
450/1000, rel loss = 19268.203, time = 0.872 s
451/1000, sim loss = 521.940, time = 0.256 s
452/1000, rel loss = 19179.875, time = 0.867 s
453/1000, sim loss = 521.647, time = 0.272 s
454/1000, rel loss = 19126.809, time = 0.869 s
455/1000, sim loss = 521.374, time = 0.261 s
456/1000, rel loss = 19044.203, time = 0.871 s
457/1000, sim loss = 521.099, time = 0.272 s
458/1000, rel loss = 18962.597, time = 0.870 s
459/1000, sim loss = 520.838, time = 0.269 s
460/1000, rel loss = 18862.939, time = 0.872 s
461/1000, sim loss = 520.582, time = 0.259 s
462/1000, rel loss = 18801.644, time = 0.868 s
463/1000, sim loss = 520.316, time = 0.263 s
464/1000, rel loss = 18776.851, time = 0.883 s
465/1000, sim loss = 520.045, time = 0.259 s
466/1000, rel loss = 18698.165, time = 0.869 s
467/1000, sim loss = 519.775, time = 0.277 s
468/1000, rel loss = 18648.713, time = 0.872 s
469/1000, sim loss = 519.513, time = 0.260 s
470/1000, rel loss = 18541.448, time = 0.867 s
471/1000, sim loss = 519.257, time = 0.258 s
472/1000, rel loss = 18445.980, time = 0.867 s
473/1000, sim loss = 518.998, time = 0.287 s
474/1000, rel loss = 18381.487, time = 0.871 s
475/1000, sim loss = 518.750, time = 0.269 s
476/1000, rel loss = 18359.805, time = 0.868 s
477/1000, sim loss = 518.481, time = 0.275 s
478/1000, rel loss = 18262.916, time = 0.872 s
479/1000, sim loss = 518.229, time = 0.271 s
480/1000, rel loss = 18260.581, time = 0.872 s
481/1000, sim loss = 517.992, time = 0.269 s
482/1000, rel loss = 18161.598, time = 0.867 s
483/1000, sim loss = 517.741, time = 0.274 s
484/1000, rel loss = 18064.032, time = 0.870 s
485/1000, sim loss = 517.485, time = 0.271 s
486/1000, rel loss = 17995.498, time = 0.870 s
487/1000, sim loss = 517.247, time = 0.264 s
488/1000, rel loss = 17954.350, time = 0.872 s
489/1000, sim loss = 516.989, time = 0.270 s
