***********************./en_fr_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 4991 = 15000
ents: 15000 + 4832 = 15000
all ents: 25500
all rels: 221 177 398
all triples: 36508 + 33532 = 70040
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
352/1000, rel loss = 22232.056, time = 0.861 s
353/1000, sim loss = 517.680, time = 0.223 s
354/1000, rel loss = 22113.884, time = 0.861 s
355/1000, sim loss = 517.267, time = 0.228 s
356/1000, rel loss = 22031.378, time = 0.862 s
357/1000, sim loss = 516.873, time = 0.225 s
358/1000, rel loss = 21939.234, time = 0.867 s
359/1000, sim loss = 516.491, time = 0.224 s
360/1000, rel loss = 21826.695, time = 0.858 s
361/1000, sim loss = 516.107, time = 0.242 s
362/1000, rel loss = 21782.131, time = 0.858 s
363/1000, sim loss = 515.727, time = 0.223 s
364/1000, rel loss = 21639.533, time = 0.860 s
365/1000, sim loss = 515.358, time = 0.242 s
366/1000, rel loss = 21569.180, time = 0.860 s
367/1000, sim loss = 514.979, time = 0.228 s
368/1000, rel loss = 21483.502, time = 0.858 s
369/1000, sim loss = 514.610, time = 0.227 s
370/1000, rel loss = 21383.465, time = 0.861 s
371/1000, sim loss = 514.244, time = 0.223 s
372/1000, rel loss = 21299.422, time = 0.859 s
373/1000, sim loss = 513.888, time = 0.229 s
374/1000, rel loss = 21222.250, time = 0.860 s
375/1000, sim loss = 513.519, time = 0.222 s
376/1000, rel loss = 21124.328, time = 0.867 s
377/1000, sim loss = 513.173, time = 0.224 s
378/1000, rel loss = 21049.647, time = 0.860 s
379/1000, sim loss = 512.812, time = 0.225 s
380/1000, rel loss = 20976.549, time = 0.859 s
381/1000, sim loss = 512.460, time = 0.228 s
382/1000, rel loss = 20887.920, time = 0.860 s
383/1000, sim loss = 512.120, time = 0.233 s
384/1000, rel loss = 20801.321, time = 0.859 s
385/1000, sim loss = 511.787, time = 0.231 s
386/1000, rel loss = 20708.838, time = 0.858 s
387/1000, sim loss = 511.444, time = 0.221 s
388/1000, rel loss = 20679.290, time = 0.862 s
389/1000, sim loss = 511.110, time = 0.234 s
390/1000, rel loss = 20554.898, time = 0.860 s
391/1000, sim loss = 510.776, time = 0.233 s
392/1000, rel loss = 20495.029, time = 0.863 s
393/1000, sim loss = 510.433, time = 0.229 s
394/1000, rel loss = 20408.539, time = 0.858 s
395/1000, sim loss = 510.108, time = 0.222 s
396/1000, rel loss = 20341.785, time = 0.859 s
397/1000, sim loss = 509.783, time = 0.230 s
398/1000, rel loss = 20272.038, time = 0.861 s
399/1000, sim loss = 509.464, time = 0.242 s
400/1000, rel loss = 20201.594, time = 0.859 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.2216  0.5289  0.7525  0.837 ], mean = 147.164, mrr = 0.325, time = 5.662 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2468  0.5381  0.7665  0.8472], mean = 147.965, mrr = 0.344, time = 5.659 s 
401/1000, sim loss = 509.145, time = 0.229 s
402/1000, rel loss = 20126.507, time = 0.867 s
403/1000, sim loss = 508.812, time = 0.223 s
404/1000, rel loss = 20039.597, time = 0.861 s
405/1000, sim loss = 508.496, time = 0.222 s
406/1000, rel loss = 19973.866, time = 0.862 s
407/1000, sim loss = 508.192, time = 0.228 s
408/1000, rel loss = 19925.144, time = 0.860 s
409/1000, sim loss = 507.888, time = 0.222 s
410/1000, rel loss = 19840.958, time = 0.869 s
411/1000, sim loss = 507.579, time = 0.244 s
412/1000, rel loss = 19745.130, time = 0.867 s
413/1000, sim loss = 507.270, time = 0.238 s
414/1000, rel loss = 19685.140, time = 0.862 s
415/1000, sim loss = 506.971, time = 0.227 s
416/1000, rel loss = 19592.268, time = 0.856 s
417/1000, sim loss = 506.676, time = 0.222 s
418/1000, rel loss = 19569.253, time = 0.863 s
419/1000, sim loss = 506.377, time = 0.230 s
420/1000, rel loss = 19504.761, time = 0.866 s
421/1000, sim loss = 506.084, time = 0.241 s
422/1000, rel loss = 19413.884, time = 0.861 s
423/1000, sim loss = 505.785, time = 0.220 s
424/1000, rel loss = 19328.008, time = 0.867 s
425/1000, sim loss = 505.494, time = 0.239 s
426/1000, rel loss = 19268.748, time = 0.861 s
427/1000, sim loss = 505.224, time = 0.229 s
428/1000, rel loss = 19202.710, time = 0.860 s
429/1000, sim loss = 504.940, time = 0.221 s
430/1000, rel loss = 19118.854, time = 0.857 s
431/1000, sim loss = 504.662, time = 0.225 s
432/1000, rel loss = 19074.594, time = 0.863 s
433/1000, sim loss = 504.376, time = 0.242 s
434/1000, rel loss = 18993.012, time = 0.863 s
435/1000, sim loss = 504.104, time = 0.237 s
436/1000, rel loss = 18968.509, time = 0.862 s
437/1000, sim loss = 503.822, time = 0.223 s
438/1000, rel loss = 18866.362, time = 0.861 s
439/1000, sim loss = 503.545, time = 0.231 s
440/1000, rel loss = 18845.098, time = 0.859 s
441/1000, sim loss = 503.293, time = 0.221 s
442/1000, rel loss = 18737.309, time = 0.869 s
443/1000, sim loss = 503.023, time = 0.223 s
444/1000, rel loss = 18677.431, time = 0.862 s
445/1000, sim loss = 502.753, time = 0.223 s
446/1000, rel loss = 18690.167, time = 0.863 s
447/1000, sim loss = 502.482, time = 0.223 s
448/1000, rel loss = 18549.504, time = 0.867 s
449/1000, sim loss = 502.201, time = 0.223 s
450/1000, rel loss = 18485.036, time = 0.868 s
451/1000, sim loss = 501.945, time = 0.229 s
452/1000, rel loss = 18468.710, time = 0.861 s
453/1000, sim loss = 501.697, time = 0.228 s
454/1000, rel loss = 18395.690, time = 0.859 s
455/1000, sim loss = 501.448, time = 0.251 s
456/1000, rel loss = 18297.852, time = 0.864 s
457/1000, sim loss = 501.190, time = 0.232 s
458/1000, rel loss = 18258.859, time = 0.867 s
459/1000, sim loss = 500.938, time = 0.222 s
460/1000, rel loss = 18208.384, time = 0.861 s
461/1000, sim loss = 500.680, time = 0.243 s
462/1000, rel loss = 18158.470, time = 0.860 s
463/1000, sim loss = 500.416, time = 0.225 s
464/1000, rel loss = 18096.729, time = 0.864 s
465/1000, sim loss = 500.174, time = 0.222 s
466/1000, rel loss = 18045.124, time = 0.866 s
467/1000, sim loss = 499.944, time = 0.243 s
468/1000, rel loss = 17954.348, time = 0.889 s
469/1000, sim loss = 499.698, time = 0.231 s
470/1000, rel loss = 17963.282, time = 0.880 s
471/1000, sim loss = 499.451, time = 0.241 s
472/1000, rel loss = 17867.249, time = 0.881 s
473/1000, sim loss = 499.228, time = 0.251 s
474/1000, rel loss = 17803.922, time = 0.881 s
475/1000, sim loss = 498.987, time = 0.245 s
476/1000, rel loss = 17741.028, time = 0.883 s
477/1000, sim loss = 498.744, time = 0.227 s
478/1000, rel loss = 17702.911, time = 0.881 s
479/1000, sim loss = 498.515, time = 0.224 s
480/1000, rel loss = 17656.005, time = 0.880 s
481/1000, sim loss = 498.274, time = 0.224 s
482/1000, rel loss = 17615.860, time = 0.885 s
483/1000, sim loss = 498.055, time = 0.233 s
484/1000, rel loss = 17537.188, time = 0.883 s
485/1000, sim loss = 497.826, time = 0.231 s
486/1000, rel loss = 17473.521, time = 0.902 s
487/1000, sim loss = 497.583, time = 0.225 s
488/1000, rel loss = 17425.461, time = 0.856 s
489/1000, sim loss = 497.351, time = 0.226 s
490/1000, rel loss = 17392.759, time = 0.855 s
491/1000, sim loss = 497.132, time = 0.230 s
492/1000, rel loss = 17339.708, time = 0.856 s
493/1000, sim loss = 496.911, time = 0.223 s
494/1000, rel loss = 17313.969, time = 0.860 s
495/1000, sim loss = 496.679, time = 0.219 s
496/1000, rel loss = 17227.732, time = 0.859 s
497/1000, sim loss = 496.461, time = 0.221 s
498/1000, rel loss = 17198.719, time = 0.854 s
499/1000, sim loss = 496.247, time = 0.231 s
500/1000, rel loss = 17125.968, time = 0.860 s
