22-45-01

X-EN: acc of top [1, 10, 50, 100] = [ 0.354   0.6862  0.845   0.891 ], mean = 110.141, mrr = 0.465, time = 5.745 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3763  0.6756  0.8251  0.8734], mean = 119.794, mrr = 0.478, time = 5.583 s 
301/1000, sim loss = 578.681, time = 0.223 s
302/1000, rel loss = 61131.683, time = 1.553 s
303/1000, sim loss = 577.864, time = 0.221 s
304/1000, rel loss = 60939.569, time = 1.546 s
305/1000, sim loss = 577.047, time = 0.221 s
306/1000, rel loss = 60696.525, time = 1.535 s
307/1000, sim loss = 576.237, time = 1.026 s
308/1000, rel loss = 60496.453, time = 1.546 s
309/1000, sim loss = 575.424, time = 0.219 s
310/1000, rel loss = 60302.695, time = 1.544 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3569  0.6869  0.8473  0.8926], mean = 106.464, mrr = 0.468, time = 5.588 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.377   0.6772  0.8271  0.8755], mean = 116.206, mrr = 0.479, time = 5.585 s 
311/1000, sim loss = 574.631, time = 0.223 s
312/1000, rel loss = 60101.778, time = 1.539 s
313/1000, sim loss = 573.863, time = 0.220 s
314/1000, rel loss = 59912.497, time = 1.537 s
315/1000, sim loss = 573.094, time = 0.218 s
316/1000, rel loss = 59640.173, time = 1.537 s
317/1000, sim loss = 572.337, time = 0.220 s
318/1000, rel loss = 59503.318, time = 1.550 s
319/1000, sim loss = 571.602, time = 0.220 s
320/1000, rel loss = 59283.559, time = 1.544 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.357   0.6893  0.849   0.895 ], mean = 103.093, mrr = 0.469, time = 5.593 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3769  0.6789  0.8289  0.8771], mean = 112.807, mrr = 0.479, time = 5.587 s 
321/1000, sim loss = 570.874, time = 0.223 s
322/1000, rel loss = 59060.746, time = 1.538 s
323/1000, sim loss = 570.152, time = 0.231 s
324/1000, rel loss = 58953.461, time = 1.548 s
325/1000, sim loss = 569.423, time = 0.220 s
326/1000, rel loss = 58694.034, time = 1.554 s
327/1000, sim loss = 568.705, time = 0.222 s
328/1000, rel loss = 58525.338, time = 1.529 s
329/1000, sim loss = 568.012, time = 0.221 s
330/1000, rel loss = 58332.959, time = 1.564 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3584  0.6909  0.8509  0.8973], mean = 99.964, mrr = 0.470, time = 5.595 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3781  0.681   0.831   0.8796], mean = 109.619, mrr = 0.481, time = 5.630 s 
331/1000, sim loss = 567.319, time = 0.220 s
332/1000, rel loss = 58240.012, time = 1.542 s
333/1000, sim loss = 566.655, time = 0.220 s
334/1000, rel loss = 58026.477, time = 1.522 s
335/1000, sim loss = 565.984, time = 0.223 s
336/1000, rel loss = 57796.362, time = 1.545 s
337/1000, sim loss = 565.311, time = 0.220 s
338/1000, rel loss = 57663.675, time = 1.534 s
339/1000, sim loss = 564.661, time = 0.219 s
340/1000, rel loss = 57463.926, time = 1.552 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3591  0.6931  0.8521  0.8996], mean = 97.344, mrr = 0.471, time = 5.590 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.378   0.6828  0.8313  0.8812], mean = 107.004, mrr = 0.481, time = 5.583 s 
341/1000, sim loss = 563.988, time = 0.222 s
342/1000, rel loss = 57393.431, time = 1.548 s
343/1000, sim loss = 563.323, time = 0.221 s
344/1000, rel loss = 57137.189, time = 1.561 s
345/1000, sim loss = 562.689, time = 0.222 s
346/1000, rel loss = 56995.909, time = 1.548 s
347/1000, sim loss = 562.061, time = 0.220 s
348/1000, rel loss = 56805.755, time = 1.539 s
349/1000, sim loss = 561.449, time = 0.220 s
350/1000, rel loss = 56652.780, time = 1.545 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3617  0.6938  0.8533  0.902 ], mean = 95.055, mrr = 0.473, time = 5.600 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3797  0.6834  0.8314  0.8819], mean = 104.649, mrr = 0.482, time = 5.587 s 
351/1000, sim loss = 560.826, time = 0.223 s
352/1000, rel loss = 56499.985, time = 1.538 s
353/1000, sim loss = 560.211, time = 0.222 s
