22-30-10

262/1000, rel loss = 73930.275, time = 2.028 s
263/1000, sim loss = 543.832, time = 0.252 s
264/1000, rel loss = 73652.891, time = 2.033 s
265/1000, sim loss = 542.993, time = 0.252 s
266/1000, rel loss = 73362.230, time = 2.040 s
267/1000, sim loss = 542.157, time = 0.251 s
268/1000, rel loss = 73045.953, time = 2.047 s
269/1000, sim loss = 541.347, time = 0.252 s
270/1000, rel loss = 72702.885, time = 2.042 s
271/1000, sim loss = 540.573, time = 0.253 s
272/1000, rel loss = 72468.333, time = 2.046 s
273/1000, sim loss = 539.786, time = 0.253 s
274/1000, rel loss = 72172.360, time = 2.021 s
275/1000, sim loss = 539.025, time = 0.252 s
276/1000, rel loss = 71923.336, time = 2.039 s
277/1000, sim loss = 538.268, time = 0.251 s
278/1000, rel loss = 71639.467, time = 2.038 s
279/1000, sim loss = 537.534, time = 0.252 s
280/1000, rel loss = 71353.707, time = 2.040 s
281/1000, sim loss = 536.801, time = 0.250 s
282/1000, rel loss = 71056.798, time = 2.038 s
283/1000, sim loss = 536.096, time = 0.252 s
284/1000, rel loss = 70854.188, time = 2.045 s
285/1000, sim loss = 535.388, time = 0.252 s
286/1000, rel loss = 70523.862, time = 2.033 s
287/1000, sim loss = 534.700, time = 0.250 s
288/1000, rel loss = 70254.157, time = 2.022 s
289/1000, sim loss = 534.019, time = 0.259 s
290/1000, rel loss = 70055.702, time = 2.047 s
291/1000, sim loss = 533.347, time = 0.261 s
292/1000, rel loss = 69725.101, time = 2.019 s
293/1000, sim loss = 532.673, time = 0.252 s
294/1000, rel loss = 69575.451, time = 2.033 s
295/1000, sim loss = 532.010, time = 0.251 s
296/1000, rel loss = 69286.292, time = 2.049 s
297/1000, sim loss = 531.373, time = 0.262 s
298/1000, rel loss = 69131.438, time = 2.030 s
299/1000, sim loss = 530.744, time = 0.252 s
300/1000, rel loss = 68796.324, time = 2.042 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3145  0.6638  0.8208  0.8758], mean = 102.966, mrr = 0.430, time = 5.738 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3329  0.6627  0.822   0.8782], mean = 105.630, mrr = 0.443, time = 5.581 s 
301/1000, sim loss = 530.108, time = 0.258 s
302/1000, rel loss = 68542.281, time = 2.029 s
303/1000, sim loss = 529.466, time = 0.257 s
304/1000, rel loss = 68417.552, time = 2.030 s
305/1000, sim loss = 528.861, time = 0.258 s
306/1000, rel loss = 68153.475, time = 2.037 s
307/1000, sim loss = 528.252, time = 0.261 s
308/1000, rel loss = 67935.443, time = 2.022 s
309/1000, sim loss = 527.662, time = 0.256 s
310/1000, rel loss = 67669.605, time = 2.026 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.3162  0.6646  0.823   0.8774], mean = 100.739, mrr = 0.432, time = 5.585 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.3329  0.6648  0.8238  0.8789], mean = 103.235, mrr = 0.443, time = 5.594 s 
311/1000, sim loss = 527.084, time = 0.257 s
