17-02-21

EN-X: acc of top [1, 10, 50, 100] = [ 0.4026  0.715   0.8676  0.9134], mean = 72.463, mrr = 0.509, time = 5.588 s 
401/1000, sim loss = 538.388, time = 0.225 s
402/1000, rel loss = 43758.561, time = 1.507 s
403/1000, sim loss = 537.832, time = 0.215 s
404/1000, rel loss = 43571.853, time = 1.487 s
405/1000, sim loss = 537.294, time = 0.217 s
406/1000, rel loss = 43494.591, time = 1.486 s
407/1000, sim loss = 536.761, time = 0.224 s
408/1000, rel loss = 43312.433, time = 1.469 s
409/1000, sim loss = 536.226, time = 0.217 s
410/1000, rel loss = 43174.811, time = 1.486 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.4136  0.7414  0.8865  0.9309], mean = 65.900, mrr = 0.526, time = 5.581 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.403   0.7146  0.8683  0.915 ], mean = 71.190, mrr = 0.509, time = 5.591 s 
total time = 522.448 s

