**********************./dbp_yg_15k_V1***********************
neg param 0.1 ; split ; sim param 0.05 ; inner sim param 0.05
ents: 15000 + 3818 = 15000
ents: 15000 + 3357 = 15000
all ents: 25500
all rels: 223 30 253
all triples: 33748 + 36569 = 70317
To align: 10500
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
sparse sim mat to sparse tensor
415/1000, sim loss = 546.828, time = 0.293 s
416/1000, rel loss = 20350.029, time = 0.877 s
417/1000, sim loss = 546.722, time = 0.291 s
418/1000, rel loss = 20244.906, time = 0.854 s
419/1000, sim loss = 546.621, time = 0.294 s
420/1000, rel loss = 20188.848, time = 0.864 s
421/1000, sim loss = 546.522, time = 0.293 s
422/1000, rel loss = 20084.913, time = 0.867 s
423/1000, sim loss = 546.427, time = 0.296 s
424/1000, rel loss = 20025.342, time = 0.869 s
425/1000, sim loss = 546.323, time = 0.293 s
426/1000, rel loss = 19940.456, time = 0.869 s
427/1000, sim loss = 546.220, time = 0.292 s
428/1000, rel loss = 19882.236, time = 0.869 s
429/1000, sim loss = 546.121, time = 0.291 s
430/1000, rel loss = 19773.975, time = 0.873 s
431/1000, sim loss = 546.023, time = 0.296 s
432/1000, rel loss = 19720.234, time = 0.869 s
433/1000, sim loss = 545.925, time = 0.291 s
434/1000, rel loss = 19659.467, time = 0.868 s
435/1000, sim loss = 545.828, time = 0.294 s
436/1000, rel loss = 19587.773, time = 0.864 s
437/1000, sim loss = 545.738, time = 0.291 s
438/1000, rel loss = 19470.117, time = 0.870 s
439/1000, sim loss = 545.646, time = 0.291 s
440/1000, rel loss = 19439.728, time = 0.871 s
441/1000, sim loss = 545.552, time = 0.293 s
442/1000, rel loss = 19343.854, time = 0.882 s
443/1000, sim loss = 545.463, time = 0.300 s
444/1000, rel loss = 19316.169, time = 0.890 s
445/1000, sim loss = 545.374, time = 0.297 s
446/1000, rel loss = 19226.743, time = 0.881 s
447/1000, sim loss = 545.279, time = 0.293 s
448/1000, rel loss = 19163.605, time = 0.867 s
449/1000, sim loss = 545.190, time = 0.291 s
450/1000, rel loss = 19049.795, time = 0.871 s
451/1000, sim loss = 545.107, time = 0.291 s
452/1000, rel loss = 19027.035, time = 0.872 s
453/1000, sim loss = 545.016, time = 0.293 s
454/1000, rel loss = 18968.543, time = 0.867 s
455/1000, sim loss = 544.928, time = 0.293 s
456/1000, rel loss = 18852.438, time = 0.868 s
457/1000, sim loss = 544.843, time = 0.294 s
458/1000, rel loss = 18790.948, time = 0.867 s
459/1000, sim loss = 544.756, time = 0.291 s
460/1000, rel loss = 18754.343, time = 0.857 s
461/1000, sim loss = 544.672, time = 0.291 s
462/1000, rel loss = 18665.381, time = 0.867 s
463/1000, sim loss = 544.590, time = 0.291 s
464/1000, rel loss = 18638.496, time = 0.872 s
465/1000, sim loss = 544.503, time = 0.291 s
466/1000, rel loss = 18568.110, time = 0.870 s
467/1000, sim loss = 544.418, time = 0.292 s
468/1000, rel loss = 18496.505, time = 0.873 s
469/1000, sim loss = 544.337, time = 0.294 s
470/1000, rel loss = 18445.906, time = 0.863 s
471/1000, sim loss = 544.254, time = 0.294 s
472/1000, rel loss = 18361.755, time = 0.866 s
473/1000, sim loss = 544.171, time = 0.295 s
474/1000, rel loss = 18306.569, time = 0.866 s
475/1000, sim loss = 544.094, time = 0.293 s
476/1000, rel loss = 18223.958, time = 0.866 s
477/1000, sim loss = 544.013, time = 0.292 s
478/1000, rel loss = 18185.685, time = 0.877 s
479/1000, sim loss = 543.931, time = 0.292 s
480/1000, rel loss = 18129.773, time = 0.867 s
481/1000, sim loss = 543.856, time = 0.294 s
482/1000, rel loss = 18079.704, time = 0.870 s
483/1000, sim loss = 543.778, time = 0.293 s
484/1000, rel loss = 17991.867, time = 0.864 s
485/1000, sim loss = 543.700, time = 0.292 s
486/1000, rel loss = 17961.506, time = 0.868 s
487/1000, sim loss = 543.625, time = 0.293 s
488/1000, rel loss = 17903.480, time = 0.875 s
489/1000, sim loss = 543.545, time = 0.292 s
490/1000, rel loss = 17804.061, time = 0.869 s
491/1000, sim loss = 543.471, time = 0.293 s
492/1000, rel loss = 17755.732, time = 0.872 s
493/1000, sim loss = 543.397, time = 0.295 s
494/1000, rel loss = 17709.914, time = 0.870 s
495/1000, sim loss = 543.324, time = 0.294 s
496/1000, rel loss = 17676.795, time = 0.869 s
497/1000, sim loss = 543.250, time = 0.294 s
498/1000, rel loss = 17593.634, time = 0.868 s
499/1000, sim loss = 543.175, time = 0.293 s
500/1000, rel loss = 17496.823, time = 0.867 s
X-EN: acc of top [1, 10, 50, 100] = [ 0.1898  0.5013  0.7926  0.8801], mean = 101.858, mrr = 0.293, time = 5.670 s 
EN-X: acc of top [1, 10, 50, 100] = [ 0.2081  0.4975  0.7937  0.881 ], mean = 114.362, mrr = 0.306, time = 5.660 s 
501/1000, sim loss = 543.105, time = 0.293 s
502/1000, rel loss = 17523.442, time = 0.872 s
503/1000, sim loss = 543.030, time = 0.294 s
504/1000, rel loss = 17437.365, time = 0.862 s
505/1000, sim loss = 542.955, time = 0.294 s
506/1000, rel loss = 17398.451, time = 0.871 s
507/1000, sim loss = 542.878, time = 0.293 s
508/1000, rel loss = 17334.103, time = 0.865 s
509/1000, sim loss = 542.803, time = 0.293 s
510/1000, rel loss = 17255.802, time = 0.863 s
511/1000, sim loss = 542.736, time = 0.292 s
512/1000, rel loss = 17240.237, time = 0.873 s
513/1000, sim loss = 542.669, time = 0.293 s
514/1000, rel loss = 17173.313, time = 0.865 s
515/1000, sim loss = 542.596, time = 0.291 s
516/1000, rel loss = 17154.954, time = 0.867 s
517/1000, sim loss = 542.529, time = 0.292 s
518/1000, rel loss = 17097.040, time = 0.872 s
519/1000, sim loss = 542.464, time = 0.293 s
520/1000, rel loss = 17024.135, time = 0.867 s
521/1000, sim loss = 542.398, time = 0.293 s
522/1000, rel loss = 16959.306, time = 0.866 s
523/1000, sim loss = 542.332, time = 0.297 s
